FECHA_DIAGNOSTICO,CASO,CASOS_ACUMULADOS,RECUPERADO,RECUPERADOS_ACUMULADOS,FALLECIDOS,FALLECIDOS_ACUMULADOS
2020-03-06,1,1,1,1,0,0
2020-03-07,0,1,0,1,0,0
2020-03-08,0,1,0,1,0,0
2020-03-09,0,1,0,1,0,0
2020-03-10,2,3,2,3,0,0
2020-03-11,0,3,0,3,0,0
2020-03-12,2,5,2,5,0,0
2020-03-13,6,11,6,11,0,0
2020-03-14,4,15,4,15,0,0
2020-03-15,15,30,15,30,0,0
2020-03-16,2,32,2,32,0,0
2020-03-17,8,40,8,40,0,0
2020-03-18,3,43,3,43,0,0
2020-03-19,12,55,12,55,0,0
2020-03-20,27,82,25,80,2,2
2020-03-21,7,89,6,86,1,3
2020-03-22,23,112,21,107,2,5
2020-03-23,5,117,5,112,0,5
2020-03-24,56,173,54,166,2,7
2020-03-25,9,182,9,175,0,7
2020-03-26,82,264,76,251,6,13
2020-03-27,31,295,30,281,1,14
2020-03-28,54,349,52,333,1,15
2020-03-29,42,391,36,369,6,21
2020-03-30,51,442,44,413,7,28
2020-03-31,23,465,23,436,0,28
2020-04-01,24,489,17,453,7,35
2020-04-02,88,577,81,534,7,42
2020-04-03,131,708,125,659,6,48
2020-04-04,89,797,82,741,7,55
2020-04-05,11,808,9,750,2,57
2020-04-06,129,937,122,872,7,64
2020-04-07,81,1018,75,947,5,69
2020-04-08,72,1090,66,1013,5,74
2020-04-09,56,1146,53,1066,3,77
2020-04-10,25,1171,23,1089,2,79
2020-04-11,10,1181,9,1098,1,80
2020-04-12,36,1217,30,1128,6,86
2020-04-13,53,1270,46,1174,5,91
2020-04-14,40,1310,39,1213,1,92
2020-04-15,45,1355,44,1257,1,93
2020-04-16,96,1451,92,1349,4,97
2020-04-17,132,1583,128,1477,2,99
2020-04-18,103,1686,98,1575,4,103
2020-04-19,117,1803,116,1691,1,104
2020-04-20,104,1907,104,1795,0,104
2020-04-21,33,1940,31,1826,1,105
2020-04-22,64,2004,58,1884,5,110
2020-04-23,78,2082,75,1959,3,113
2020-04-24,96,2178,93,2052,2,115
2020-04-25,100,2278,95,2147,2,117
2020-04-26,112,2390,107,2254,4,121
2020-04-27,101,2491,90,2344,5,126
2020-04-28,114,2605,106,2450,6,132
2020-04-29,63,2668,59,2509,4,136
2020-04-30,129,2797,121,2630,7,143
2020-05-01,90,2887,85,2715,3,146
2020-05-02,97,2984,96,2811,1,147
2020-05-03,131,3115,128,2939,3,150
2020-05-04,155,3270,138,3077,14,164
2020-05-05,200,3470,191,3268,6,170
2020-05-06,133,3603,130,3398,2,172
2020-05-07,303,3906,287,3685,14,186
2020-05-08,173,4079,167,3852,5,191
2020-05-09,145,4224,141,3993,2,193
2020-05-10,209,4433,203,4196,4,197
2020-05-11,218,4651,210,4406,7,204
2020-05-12,124,4775,118,4524,4,208
2020-05-13,142,4917,139,4663,3,211
2020-05-14,219,5136,209,4872,7,218
2020-05-15,328,5464,325,5197,3,221
2020-05-16,177,5641,174,5371,3,224
2020-05-17,206,5847,197,5568,6,230
2020-05-18,104,5951,100,5668,4,234
2020-05-19,301,6252,292,5960,7,241
2020-05-20,248,6500,241,6201,6,247
2020-05-21,124,6624,119,6320,5,252
2020-05-22,398,7022,383,6703,10,262
2020-05-23,231,7253,224,6927,7,269
2020-05-24,147,7400,141,7068,5,274
2020-05-25,370,7770,356,7424,7,281
2020-05-26,291,8061,279,7703,8,289
2020-05-27,494,8555,476,8179,12,301
2020-05-28,696,9251,677,8856,14,315
2020-05-29,427,9678,406,9262,19,334
2020-05-30,326,10004,321,9583,3,337
2020-05-31,473,10477,451,10034,14,351
2020-06-01,371,10848,362,10396,8,359
2020-06-02,454,11302,438,10834,11,370
2020-06-03,566,11868,546,11380,16,386
2020-06-04,364,12232,353,11733,6,392
2020-06-05,385,12617,375,12108,7,399
2020-06-06,325,12942,311,12419,9,408
2020-06-07,439,13381,426,12845,10,418
2020-06-08,400,13781,383,13228,16,434
2020-06-09,673,14454,647,13875,21,455
2020-06-10,539,14993,514,14389,17,472
2020-06-11,307,15300,297,14686,9,481
2020-06-12,518,15818,499,15185,15,496
2020-06-13,459,16277,444,15629,12,508
2020-06-14,447,16724,431,16060,15,523
2020-06-15,458,17182,430,16490,25,548
2020-06-16,748,17930,725,17215,16,564
2020-06-17,705,18635,670,17885,30,594
2020-06-18,1021,19656,983,18868,31,625
2020-06-19,956,20612,917,19785,28,653
2020-06-20,1276,21888,1232,21017,36,689
2020-06-21,855,22743,824,21841,24,713
2020-06-22,1145,23888,1097,22938,35,748
2020-06-23,735,24623,694,23632,35,783
2020-06-24,1794,26417,1736,25368,48,831
2020-06-25,713,27130,676,26044,25,856
2020-06-26,1120,28250,1069,27113,42,898
2020-06-27,1062,29312,1018,28131,35,933
2020-06-28,1351,30663,1301,29432,42,975
2020-06-29,800,31463,760,30192,37,1012
2020-06-30,1501,32964,1425,31617,61,1073
2020-07-01,1353,34317,1309,32926,38,1111
2020-07-02,2046,36363,1976,34902,55,1166
2020-07-03,1108,37471,1075,35977,25,1191
2020-07-04,1609,39080,1525,37502,66,1257
2020-07-05,1316,40396,1253,38755,57,1314
2020-07-06,1457,41853,1390,40145,56,1370
2020-07-07,2093,43946,1989,42134,89,1459
2020-07-08,1769,45715,1717,43851,42,1501
2020-07-09,1653,47368,1566,45417,71,1572
2020-07-10,1955,49323,1868,47285,72,1644
2020-07-11,1814,51137,1741,49026,64,1708
2020-07-12,1631,52768,1555,50581,54,1762
2020-07-13,1712,54480,1615,52196,83,1845
2020-07-14,1676,56156,1609,53805,61,1906
2020-07-15,2322,58478,2217,56022,95,2001
2020-07-16,2594,61072,2464,58486,106,2107
2020-07-17,2120,63192,2000,60486,106,2213
2020-07-18,2463,65655,2350,62836,90,2303
2020-07-19,2472,68127,2350,65186,106,2409
2020-07-20,1802,69929,1704,66890,83,2492
2020-07-21,3604,73533,3427,70317,153,2645
2020-07-22,3904,77437,3766,74083,121,2766
2020-07-23,2443,79880,2315,76398,101,2867
2020-07-24,3724,83604,3598,79996,104,2971
2020-07-25,3113,86717,2936,82932,155,3126
2020-07-26,2285,89002,2207,85139,55,3181
2020-07-27,3708,92710,3530,88669,158,3339
2020-07-28,3943,96653,3759,92428,159,3498
2020-07-29,3083,99736,2984,95412,76,3574
2020-07-30,3618,103354,3470,98882,126,3700
2020-07-31,3732,107086,3584,102466,126,3826
2020-08-01,3874,110960,3735,106201,121,3947
2020-08-02,2467,113427,2376,108577,82,4029
2020-08-03,3179,116606,3037,111614,124,4153
2020-08-04,5367,121973,5173,116787,161,4314
2020-08-05,3861,125834,3740,120527,92,4406
2020-08-06,2794,128628,2697,123224,75,4481
2020-08-07,3597,132225,3515,126739,72,4553
2020-08-08,3501,135726,3372,130111,109,4662
2020-08-09,2898,138624,2798,132909,84,4746
2020-08-10,4816,143440,4711,137620,85,4831
2020-08-11,4606,148046,4472,142092,112,4943
2020-08-12,4175,152221,4086,146178,73,5016
2020-08-13,4475,156696,4377,150555,83,5099
2020-08-14,3746,160442,3642,154197,71,5170
2020-08-15,4786,165228,4706,158903,66,5236
2020-08-16,3817,169045,3732,162635,64,5300
2020-08-17,4177,173222,4082,166717,74,5374
2020-08-18,5168,178390,5016,171733,117,5491
2020-08-19,2891,181281,2790,174523,82,5573
2020-08-20,3655,184936,3549,178072,87,5660
2020-08-21,3683,188619,3575,181647,85,5745
2020-08-22,2914,191533,2847,184494,48,5793
2020-08-23,3485,195018,3415,187909,56,5849
2020-08-24,3138,198156,3044,190953,75,5924
2020-08-25,3280,201436,3194,194147,65,5989
2020-08-26,2528,203964,2451,196598,65,6054
2020-08-27,2296,206260,2240,198838,41,6095
2020-08-28,3002,209262,2935,201773,51,6146
2020-08-29,2089,211351,2027,203800,49,6195
2020-08-30,2062,213413,2014,205814,36,6231
2020-08-31,3674,217087,3597,209411,55,6286
2020-09-01,2956,220043,2892,212303,54,6340
2020-09-02,2057,222100,1989,214292,51,6391
2020-09-03,2575,224675,2494,216786,62,6453
2020-09-04,2166,226841,2101,218887,46,6499
2020-09-05,2062,228903,2001,220888,43,6542
2020-09-06,1177,230080,1145,222033,21,6563
2020-09-07,2668,232748,2619,224652,36,6599
2020-09-08,1849,234597,1799,226451,36,6635
2020-09-09,1777,236374,1733,228184,34,6669
2020-09-10,2715,239089,2653,230837,48,6717
2020-09-11,2169,241258,2106,232943,44,6761
2020-09-12,1583,242841,1524,234467,53,6814
2020-09-13,918,243759,889,235356,22,6836
2020-09-14,1893,245652,1857,237213,29,6865
